sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.0,static_budgeted,0,0,696.0,722.0,738.0,0.0,0.0,0.644132137298584,0.9939393939393939
0.0,hebbian_frobenius,0,0,687.0,687.0,730.0,,,40.96072483062744,0.9831649831649831
0.0,hybrid_frobenius,0,0,687.0,687.0,730.0,,,43.03688168525696,0.9831649831649831
0.0,oracle_compensation,0,0,738.0,757.0,759.0,1.0,-1.0,1.1359333992004395,1.0222222222222221
0.0,static_budgeted,0,1,712.0,737.0,754.0,0.0,0.0,0.7099964618682861,1.0154882154882154
0.0,hebbian_frobenius,0,1,650.0,650.0,706.0,1.07024274556616e-16,,42.21560287475586,0.9508417508417508
0.0,hybrid_frobenius,0,1,650.0,650.0,706.0,1.07024274556616e-16,,44.87397503852844,0.9508417508417508
0.0,oracle_compensation,0,1,720.0,743.0,755.0,1.0,-1.0,0.9743142127990723,1.0168350168350169
0.0,static_budgeted,0,2,699.0,725.0,738.0,0.0,0.0,0.6039547920227051,0.9939393939393939
0.0,hebbian_frobenius,0,2,652.0,652.0,726.0,2.95440081218809e-16,,75.54975247383118,0.9777777777777777
0.0,hybrid_frobenius,0,2,652.0,652.0,726.0,2.95440081218809e-16,,76.90712356567383,0.9777777777777777
0.0,oracle_compensation,0,2,748.0,749.0,758.0,1.0,-1.0,0.995507001876831,1.020875420875421
0.0,static_budgeted,0,3,702.0,722.0,738.0,0.0,0.0,0.6640574932098389,0.9939393939393939
0.0,hebbian_frobenius,0,3,646.0,646.0,705.0,4.870860492964551e-17,,47.72847080230713,0.9494949494949495
0.0,hybrid_frobenius,0,3,646.0,646.0,705.0,4.870860492964551e-17,,49.000779151916504,0.9494949494949495
0.0,oracle_compensation,0,3,735.0,741.0,750.0,1.0,-1.0,1.0790112018585205,1.0101010101010102
0.0,static_budgeted,0,4,690.0,717.0,734.0,0.0,0.0,0.665294885635376,0.9885521885521885
0.0,hebbian_frobenius,0,4,671.0,671.0,722.0,,,54.82501935958862,0.9723905723905724
0.0,hybrid_frobenius,0,4,671.0,671.0,722.0,,,49.643701791763306,0.9723905723905724
0.0,oracle_compensation,0,4,741.0,750.0,762.0,1.0,-1.0,1.0659890174865723,1.0262626262626262
0.0,static_budgeted,0,5,696.0,711.0,746.0,0.0,0.0,0.5962073802947998,1.0047138047138047
0.0,hebbian_frobenius,0,5,658.0,659.0,715.0,,,40.79142689704895,0.9629629629629629
0.0,hybrid_frobenius,0,5,658.0,659.0,715.0,,,41.92451572418213,0.9629629629629629
0.0,oracle_compensation,0,5,750.0,752.0,757.0,1.0,-1.0,1.1310951709747314,1.0195286195286195
0.0,static_budgeted,0,6,711.0,723.0,745.0,0.0,0.0,0.6230759620666504,1.0033670033670035
0.0,hebbian_frobenius,0,6,669.0,669.0,745.0,1.0120834370085931e-16,,59.96425247192383,1.0033670033670035
0.0,hybrid_frobenius,0,6,669.0,669.0,745.0,1.0120834370085931e-16,,60.19440054893494,1.0033670033670035
0.0,oracle_compensation,0,6,725.0,745.0,755.0,1.0,-1.0,0.9019737243652344,1.0168350168350169
0.0,static_budgeted,0,7,695.0,717.0,735.0,0.0,0.0,0.5753583908081055,0.98989898989899
0.0,hebbian_frobenius,0,7,646.0,646.0,725.0,1.5544551436419057e-16,,54.1951379776001,0.9764309764309764
0.0,hybrid_frobenius,0,7,646.0,646.0,725.0,1.5544551436419057e-16,,54.156728744506836,0.9764309764309764
0.0,oracle_compensation,0,7,751.0,751.0,759.0,1.0,-1.0,1.0655274391174316,1.0222222222222221
0.0,static_budgeted,0,8,711.0,725.0,743.0,0.0,0.0,0.5964643955230713,1.0006734006734006
0.0,hebbian_frobenius,0,8,649.0,649.0,715.0,1.663149859542048e-16,,25.254581212997437,0.9629629629629629
0.0,hybrid_frobenius,0,8,649.0,649.0,715.0,1.663149859542048e-16,,25.955463409423828,0.9629629629629629
0.0,oracle_compensation,0,8,748.0,750.0,754.0,1.0,-1.0,0.9992296695709229,1.0154882154882154
0.0,static_budgeted,0,9,721.0,725.0,754.0,0.0,0.0,0.6546659469604492,1.0154882154882154
0.0,hebbian_frobenius,0,9,633.0,633.0,711.0,5.222711834883387e-17,,23.743210554122925,0.9575757575757575
0.0,hybrid_frobenius,0,9,633.0,633.0,711.0,5.222711834883387e-17,,24.051717281341553,0.9575757575757575
0.0,oracle_compensation,0,9,741.0,744.0,760.0,1.0,-1.0,1.011960506439209,1.0235690235690236
0.25,static_budgeted,0,0,703.0,725.0,746.0,0.0,0.0,0.8423871994018555,1.0047138047138047
0.25,hebbian_frobenius,0,0,682.0,684.0,737.0,0.14279686530224392,-0.13894677190103333,94.06737995147705,0.9925925925925926
0.25,hybrid_frobenius,0,0,682.0,684.0,737.0,0.14279686530224392,-0.13894677190103333,101.21395802497864,0.9925925925925926
0.25,oracle_compensation,0,0,729.0,743.0,749.0,1.0,-1.0,1.0744640827178955,1.0087542087542087
0.25,static_budgeted,0,1,706.0,717.0,743.0,0.0,0.0,0.8625059127807617,1.0006734006734006
0.25,hebbian_frobenius,0,1,659.0,659.0,719.0,0.09788469569436767,-0.12509981277612467,93.26144194602966,0.9683501683501684
0.25,hybrid_frobenius,0,1,659.0,659.0,719.0,0.09788469569436767,-0.12509981277612467,96.03519463539124,0.9683501683501684
0.25,oracle_compensation,0,1,732.0,752.0,758.0,1.0,-1.0,1.139991044998169,1.020875420875421
0.25,static_budgeted,0,2,710.0,715.0,732.0,0.0,0.0,0.7790839672088623,0.9858585858585859
0.25,hebbian_frobenius,0,2,657.0,657.0,745.0,0.007993086955717517,-0.007546038431928428,40.300002336502075,1.0033670033670035
0.25,hybrid_frobenius,0,2,657.0,657.0,745.0,0.007993086955717517,-0.007546038431928428,38.52860426902771,1.0033670033670035
0.25,oracle_compensation,0,2,742.0,752.0,765.0,1.0,-1.0,0.9886434078216553,1.0303030303030303
0.25,static_budgeted,0,3,709.0,710.0,739.0,0.0,0.0,0.9829089641571045,0.9952861952861953
0.25,hebbian_frobenius,0,3,646.0,662.0,722.0,0.10015079022569758,-0.08633296224635402,88.74145865440369,0.9723905723905724
0.25,hybrid_frobenius,0,3,646.0,657.0,722.0,0.10015079022569758,-0.08633296224635402,87.75690412521362,0.9723905723905724
0.25,oracle_compensation,0,3,733.0,742.0,748.0,1.0,-1.0,1.0671038627624512,1.0074074074074073
0.25,static_budgeted,0,4,705.0,732.0,751.0,0.0,0.0,0.8280129432678223,1.0114478114478114
0.25,hebbian_frobenius,0,4,657.0,657.0,710.0,0.08746602519566857,-0.09611443048119837,62.73431134223938,0.9562289562289562
0.25,hybrid_frobenius,0,4,657.0,657.0,710.0,0.08746602519566857,-0.09611443048119837,62.76801919937134,0.9562289562289562
0.25,oracle_compensation,0,4,745.0,752.0,761.0,1.0,-1.0,0.9780282974243164,1.024915824915825
0.25,static_budgeted,0,5,708.0,710.0,746.0,0.0,0.0,0.7552051544189453,1.0047138047138047
0.25,hebbian_frobenius,0,5,658.0,658.0,749.0,0.23672815007281586,-0.2177114225918237,29.973796129226685,1.0087542087542087
0.25,hybrid_frobenius,0,5,658.0,658.0,749.0,0.23672815007281586,-0.2177114225918237,30.36146593093872,1.0087542087542087
0.25,oracle_compensation,0,5,728.0,760.0,762.0,1.0,-1.0,1.0081322193145752,1.0262626262626262
0.25,static_budgeted,0,6,701.0,716.0,755.0,0.0,0.0,0.7774457931518555,1.0168350168350169
0.25,hebbian_frobenius,0,6,679.0,679.0,762.0,0.12912237272764487,-0.09186343990184613,30.031277894973755,1.0262626262626262
0.25,hybrid_frobenius,0,6,679.0,679.0,762.0,0.12912237272764487,-0.09186343990184613,31.20877957344055,1.0262626262626262
0.25,oracle_compensation,0,6,719.0,753.0,762.0,1.0,-1.0,1.1681811809539795,1.0262626262626262
0.25,static_budgeted,0,7,705.0,730.0,747.0,0.0,0.0,0.8191578388214111,1.006060606060606
0.25,hebbian_frobenius,0,7,645.0,645.0,705.0,0.11809349325556921,-0.13533304092160828,35.954997301101685,0.9494949494949495
0.25,hybrid_frobenius,0,7,645.0,645.0,705.0,0.11809349325556921,-0.13533304092160828,37.2234845161438,0.9494949494949495
0.25,oracle_compensation,0,7,738.0,738.0,747.0,1.0,-1.0,1.4108576774597168,1.006060606060606
0.25,static_budgeted,0,8,732.0,738.0,756.0,0.0,0.0,0.7292690277099609,1.018181818181818
