sigma,method,graph_seed,method_seed,cut_raw,cut_rounded,cut_polished,corr_W_inverse_gain,corr_W_gain,runtime_sec,cut_ratio_vs_baseline
0.0,static_budgeted,0,0,696.0,722.0,738.0,0.0,0.0,0.6713340282440186,0.9939393939393939
0.0,random_budgeted,0,0,718.0,735.0,747.0,0.0,0.0,0.5909199714660645,1.006060606060606
0.0,hebbian_frobenius,0,0,687.0,687.0,730.0,,,43.718701124191284,0.9831649831649831
0.0,hybrid_frobenius,0,0,687.0,687.0,730.0,,,44.10200500488281,0.9831649831649831
0.0,oracle_compensation,0,0,738.0,757.0,759.0,1.0,-1.0,1.0716814994812012,1.0222222222222221
0.0,static_budgeted,0,1,712.0,737.0,754.0,0.0,0.0,0.6898796558380127,1.0154882154882154
0.0,random_budgeted,0,1,726.0,731.0,740.0,0.0,0.0,0.48914480209350586,0.9966329966329966
0.0,hebbian_frobenius,0,1,650.0,650.0,706.0,1.07024274556616e-16,,42.68579697608948,0.9508417508417508
0.0,hybrid_frobenius,0,1,650.0,652.0,702.0,1.07024274556616e-16,,42.1054368019104,0.9454545454545454
0.0,oracle_compensation,0,1,720.0,744.0,750.0,1.0,-1.0,0.9640464782714844,1.0101010101010102
0.0,static_budgeted,0,2,699.0,725.0,738.0,0.0,0.0,0.5742387771606445,0.9939393939393939
0.0,random_budgeted,0,2,722.0,741.0,751.0,0.0,0.0,0.5123403072357178,1.0114478114478114
0.0,hebbian_frobenius,0,2,652.0,652.0,726.0,2.95440081218809e-16,,75.62881112098694,0.9777777777777777
0.0,hybrid_frobenius,0,2,652.0,652.0,726.0,2.95440081218809e-16,,74.34261870384216,0.9777777777777777
0.0,oracle_compensation,0,2,748.0,749.0,758.0,1.0,-1.0,0.9654390811920166,1.020875420875421
0.0,static_budgeted,0,3,702.0,722.0,738.0,0.0,0.0,0.6480638980865479,0.9939393939393939
0.0,random_budgeted,0,3,723.0,753.0,758.0,0.0,0.0,0.5802783966064453,1.020875420875421
0.0,hebbian_frobenius,0,3,646.0,646.0,705.0,4.870860492964551e-17,,45.359107971191406,0.9494949494949495
0.0,hybrid_frobenius,0,3,646.0,646.0,705.0,4.870860492964551e-17,,49.90153980255127,0.9494949494949495
0.0,oracle_compensation,0,3,735.0,742.0,753.0,1.0,-1.0,1.022017240524292,1.0141414141414142
0.0,static_budgeted,0,4,690.0,717.0,734.0,0.0,0.0,0.7098019123077393,0.9885521885521885
0.0,random_budgeted,0,4,734.0,743.0,750.0,0.0,0.0,0.5429751873016357,1.0101010101010102
0.0,hebbian_frobenius,0,4,671.0,671.0,722.0,,,54.70784640312195,0.9723905723905724
0.0,hybrid_frobenius,0,4,671.0,671.0,722.0,,,53.203784227371216,0.9723905723905724
