graph_family,graph_seed,n,m,mean_degree,budget_mode,budget_value,projection_type,method,amplitude_sigma,amplitude_label,omega_mode,restart_seed,support_source,T_adapt,T_static,adaptive_updates,projection_calls,ode_nfev,runtime_sec,cvxpy_time_sec,cvxpy_calls,cut_raw,cut_rounded,cut_polished,sdp_bound,gw_cut,exact_optimum,exact_status,cut_ratio_exact,active_edges,mean_active_degree,max_active_degree,row_sum_mean,row_sum_max,budget_violation_max,symmetry_error,energy_descent_violations,energy_violations_raw,final_L,L_valid
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,0,graph,50.0,50.0,0,0,1850,0.9783072471618652,0.0,0,760.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,1,graph,50.0,50.0,0,0,1634,0.7982311248779297,0.0,0,750.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,2,graph,50.0,50.0,0,0,2162,1.1051058769226074,0.0,0,761.0,761.0,762.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,3,graph,50.0,50.0,0,0,1874,0.9547214508056641,0.0,0,759.0,759.0,764.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,4,graph,50.0,50.0,0,0,2114,1.0459263324737549,0.0,0,751.0,757.0,764.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,5,graph,50.0,50.0,0,0,2066,1.0538113117218018,0.0,0,750.0,753.0,761.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,6,graph,50.0,50.0,0,0,1910,3.4925334453582764,0.0,0,748.0,765.0,768.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,7,graph,50.0,50.0,0,0,2042,1.0519788265228271,0.0,0,756.0,760.0,763.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,8,graph,50.0,50.0,0,0,1862,0.9570300579071045,0.0,0,755.0,762.0,769.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,9,graph,50.0,50.0,0,0,2186,1.1198759078979492,0.0,0,753.0,760.0,765.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,0,graph,50.0,50.0,0,0,1850,0.952582597732544,0.0,0,760.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,1,graph,50.0,50.0,0,0,1634,0.8154966831207275,0.0,0,750.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,2,graph,50.0,50.0,0,0,2162,1.1304705142974854,0.0,0,761.0,761.0,762.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,3,graph,50.0,50.0,0,0,1874,0.9472002983093262,0.0,0,759.0,759.0,764.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,4,graph,50.0,50.0,0,0,2114,1.0753769874572754,0.0,0,751.0,757.0,764.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,5,graph,50.0,50.0,0,0,2066,1.0600030422210693,0.0,0,750.0,753.0,761.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
