graph_family,graph_seed,n,m,mean_degree,budget_mode,budget_value,projection_type,method,amplitude_sigma,amplitude_label,omega_mode,restart_seed,support_source,T_adapt,T_static,adaptive_updates,projection_calls,ode_nfev,runtime_sec,cvxpy_time_sec,cvxpy_calls,cut_raw,cut_rounded,cut_polished,sdp_bound,gw_cut,exact_optimum,exact_status,cut_ratio_exact,active_edges,mean_active_degree,max_active_degree,row_sum_mean,row_sum_max,budget_violation_max,symmetry_error,energy_descent_violations,energy_violations_raw,final_L,L_valid
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,0,graph,50.0,50.0,0,0,1850,0.9893717765808105,0.0,0,760.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,1,graph,50.0,50.0,0,0,1634,0.8330099582672119,0.0,0,750.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static,0.0,ideal,zero,2,graph,50.0,50.0,0,0,2162,1.1473803520202637,0.0,0,761.0,761.0,762.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,0,graph,50.0,50.0,0,0,1850,0.9940564632415771,0.0,0,760.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,1,graph,50.0,50.0,0,0,1634,0.8524527549743652,0.0,0,750.0,760.0,766.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_rounding,0.0,ideal,zero,2,graph,50.0,50.0,0,0,2162,1.188863754272461,0.0,0,761.0,761.0,762.0,0.0,0.0,,timeout,0.0,1068,10.68,21,10.68,21.0,15.66,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,greedy,0.0,ideal,zero,0,graph,50.0,50.0,0,0,0,0.0014841556549072266,0.0,0,732.0,732.0,732.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,greedy,0.0,ideal,zero,1,graph,50.0,50.0,0,0,0,0.0009520053863525391,0.0,0,730.0,730.0,730.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,greedy,0.0,ideal,zero,2,graph,50.0,50.0,0,0,0,0.0008246898651123047,0.0,0,731.0,731.0,731.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_projected,0.0,ideal,zero,0,graph,50.0,50.0,0,1,1094,0.6966400146484375,0.07854747772216797,1,743.0,753.0,755.0,0.0,0.0,,timeout,0.0,1068,10.68,21,5.20605466953828,5.340000000000579,5.790923296444817e-13,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_projected,0.0,ideal,zero,1,graph,50.0,50.0,0,1,998,0.6040971279144287,0.08220863342285156,1,727.0,741.0,752.0,0.0,0.0,,timeout,0.0,1068,10.68,21,5.20605466953828,5.340000000000579,5.790923296444817e-13,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_projected,0.0,ideal,zero,2,graph,50.0,50.0,0,1,1010,0.6291813850402832,0.08175301551818848,1,742.0,742.0,758.0,0.0,0.0,,timeout,0.0,1068,10.68,21,5.20605466953828,5.340000000000579,5.790923296444817e-13,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_budgeted,0.0,ideal,zero,0,graph,50.0,50.0,0,1,1154,0.7213032245635986,0.07747077941894531,1,696.0,722.0,738.0,0.0,0.0,,timeout,0.0,765,7.65,14,5.07134384449361,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_budgeted,0.0,ideal,zero,1,graph,50.0,50.0,0,1,1226,0.7338924407958984,0.08231306076049805,1,712.0,737.0,754.0,0.0,0.0,,timeout,0.0,759,7.59,13,5.069182904994259,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,static_budgeted,0.0,ideal,zero,2,graph,50.0,50.0,0,1,986,0.5977683067321777,0.07639813423156738,1,699.0,725.0,738.0,0.0,0.0,,timeout,0.0,767,7.67,13,5.151039561233553,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_budgeted,0.0,ideal,zero,0,graph,50.0,50.0,0,1,1034,0.5559055805206299,0.02541804313659668,1,718.0,734.0,748.0,0.0,0.0,,timeout,0.0,1049,10.49,17,4.434976957445132,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_budgeted,0.0,ideal,zero,1,graph,50.0,50.0,0,1,890,0.48858642578125,0.03350710868835449,1,726.0,729.0,743.0,0.0,0.0,,timeout,0.0,1049,10.49,19,4.469862151048437,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,random_budgeted,0.0,ideal,zero,2,graph,50.0,50.0,0,1,950,0.5202968120574951,0.0360560417175293,1,722.0,745.0,754.0,0.0,0.0,,timeout,0.0,1056,10.56,20,4.4724016059641345,5.340000000000212,2.1227464230832993e-13,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,learned_support_random_weights,0.0,ideal,zero,0,hebbian_seed0,50.0,50.0,0,1,890,0.40349745750427246,0.017620563507080078,1,687.0,687.0,730.0,0.0,0.0,,timeout,0.0,680,6.8,13,3.229881349814129,5.340000000000001,8.881784197001252e-16,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,learned_support_random_weights,0.0,ideal,zero,1,hebbian_seed0,50.0,50.0,0,1,1142,0.502941370010376,0.004951000213623047,1,687.0,687.0,730.0,0.0,0.0,,timeout,0.0,680,6.8,13,3.3566403079767224,5.34,0.0,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,learned_support_random_weights,0.0,ideal,zero,2,hebbian_seed0,50.0,50.0,0,1,938,0.4389915466308594,0.01603102684020996,1,687.0,687.0,730.0,0.0,0.0,,timeout,0.0,680,6.8,13,3.307415059782727,5.34,0.0,0.0,0,0,0.0,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,topology_scrambled,0.0,ideal,zero,0,graph,50.0,50.0,100,101,3224,88.68979668617249,87.12214303016663,101,560.0,561.0,725.0,0.0,0.0,,timeout,0.0,558,5.58,10,5.318306028949125,5.340000000000001,8.881784197001252e-16,0.0,0,0,-495.69484325917495,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,topology_scrambled,0.0,ideal,zero,1,graph,50.0,50.0,100,101,3248,86.98975658416748,85.4567654132843,101,538.0,544.0,727.0,0.0,0.0,,timeout,0.0,564,5.64,11,5.302065060538069,5.340000000000001,8.881784197001252e-16,0.0,0,0,-492.77347856887764,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,topology_scrambled,0.0,ideal,zero,2,graph,50.0,50.0,100,101,2984,51.58449649810791,50.15486693382263,101,552.0,553.0,723.0,0.0,0.0,,timeout,0.0,553,5.53,12,5.339999999999707,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-497.2974139247509,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,0,graph,50.0,50.0,100,100,3596,1.8269939422607422,0.0,0,685.0,685.0,728.0,0.0,0.0,,timeout,0.0,685,6.85,13,4.993229873607722,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-478.5285074317544,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,1,graph,50.0,50.0,100,100,3524,1.8101484775543213,0.0,0,655.0,655.0,711.0,0.0,0.0,,timeout,0.0,655,6.55,13,5.0176545828880394,5.340000000000001,8.881784197001252e-16,0.0,0,11,-479.5661736032676,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hebbian_sinkhorn,0.0,ideal,zero,2,graph,50.0,50.0,100,100,4484,2.2863223552703857,0.0,0,665.0,665.0,729.0,0.0,0.0,,timeout,0.0,665,6.65,12,4.995856120338034,5.340000000000001,8.881784197001252e-16,0.0,0,6,-478.19941552280915,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,0,graph,50.0,50.0,100,100,4654,2.318434000015259,0.0,0,685.0,685.0,728.0,0.0,0.0,,timeout,0.0,685,6.85,13,4.993229873607722,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-478.5285074317544,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,1,graph,50.0,50.0,100,100,4534,2.233065605163574,0.0,0,655.0,655.0,711.0,0.0,0.0,,timeout,0.0,655,6.55,13,5.0176545828880394,5.340000000000001,8.881784197001252e-16,0.0,0,11,-479.5661736032676,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,sinkhorn,hybrid_sinkhorn,0.0,ideal,zero,2,graph,50.0,50.0,100,100,5542,2.623413562774658,0.0,0,665.0,665.0,729.0,0.0,0.0,,timeout,0.0,665,6.65,12,4.995856120338034,5.340000000000001,8.881784197001252e-16,0.0,0,6,-478.19941552280915,False
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hebbian_frobenius,0.0,ideal,zero,0,graph,50.0,50.0,100,101,3404,45.30997633934021,43.791585206985474,101,687.0,687.0,730.0,0.0,0.0,,timeout,0.0,680,6.8,13,5.34,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-508.0811791285584,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hebbian_frobenius,0.0,ideal,zero,1,graph,50.0,50.0,100,101,4064,40.27606916427612,38.64891171455383,101,650.0,650.0,706.0,0.0,0.0,,timeout,0.0,643,6.43,12,5.340000000000001,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-505.63524285703863,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hebbian_frobenius,0.0,ideal,zero,2,graph,50.0,50.0,100,101,3584,73.73464298248291,72.11301445960999,101,652.0,652.0,726.0,0.0,0.0,,timeout,0.0,648,6.48,12,5.339999999999866,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-505.68698125694175,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hybrid_frobenius,0.0,ideal,zero,0,graph,50.0,50.0,100,101,4510,45.58264660835266,43.66102838516235,101,687.0,687.0,730.0,0.0,0.0,,timeout,0.0,680,6.8,13,5.34,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-508.0811791285584,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hybrid_frobenius,0.0,ideal,zero,1,graph,50.0,50.0,100,101,5170,40.531675815582275,38.509113788604736,101,650.0,650.0,706.0,0.0,0.0,,timeout,0.0,643,6.43,12,5.340000000000001,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-505.63524285703863,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,frobenius,hybrid_frobenius,0.0,ideal,zero,2,graph,50.0,50.0,100,101,4642,72.88204336166382,70.89610767364502,101,652.0,652.0,726.0,0.0,0.0,,timeout,0.0,648,6.48,12,5.339999999999866,5.340000000000002,1.7763568394002505e-15,0.0,0,0,-505.68698125694175,True
sparse_er_200_p05,0,200,1068,10.68,half_mean_deg,5.34,none,sdp_gw,0.0,ideal,zero,0,graph,50.0,50.0,0,0,0,431.58622908592224,0.0,0,0.0,0.0,0.0,811.5955442709039,754.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static,0.0,ideal,zero,0,graph,50.0,50.0,0,0,3362,1.673255443572998,0.0,0,1824.0,1857.0,1866.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static,0.0,ideal,zero,1,graph,50.0,50.0,0,0,4046,2.035435438156128,0.0,0,1825.0,1856.0,1866.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static,0.0,ideal,zero,2,graph,50.0,50.0,0,0,3770,1.8612089157104492,0.0,0,1836.0,1850.0,1860.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_rounding,0.0,ideal,zero,0,graph,50.0,50.0,0,0,3362,1.6306731700897217,0.0,0,1824.0,1857.0,1866.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_rounding,0.0,ideal,zero,1,graph,50.0,50.0,0,0,4046,2.0035629272460938,0.0,0,1825.0,1856.0,1866.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,random_rounding,0.0,ideal,zero,2,graph,50.0,50.0,0,0,3770,1.8264384269714355,0.0,0,1836.0,1850.0,1860.0,0.0,0.0,,timeout,0.0,2979,29.79,42,29.79,42.0,27.105,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,greedy,0.0,ideal,zero,0,graph,50.0,50.0,0,0,0,0.0007185935974121094,0.0,0,1842.0,1842.0,1842.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,greedy,0.0,ideal,zero,1,graph,50.0,50.0,0,0,0,0.0006554126739501953,0.0,0,1835.0,1835.0,1835.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,greedy,0.0,ideal,zero,2,graph,50.0,50.0,0,0,0,0.0007545948028564453,0.0,0,1799.0,1799.0,1799.0,0.0,0.0,,timeout,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static_projected,0.0,ideal,zero,0,graph,50.0,50.0,0,1,1538,0.8201947212219238,0.06837964057922363,1,1812.0,1850.0,1859.0,0.0,0.0,,timeout,0.0,2979,29.79,42,14.875030996157836,14.895000000000003,3.552713678800501e-15,0.0,0,0,0.0,False
dense_er_200_p15,0,200,2979,29.79,half_mean_deg,14.895,none,static_projected,0.0,ideal,zero,1,graph,50.0,50.0,0,1,1766,0.9569993019104004,0.06627297401428223,1,1819.0,1848.0,1860.0,0.0,0.0,,timeout,0.0,2979,29.79,42,14.875030996157836,14.895000000000003,3.552713678800501e-15,0.0,0,0,0.0,False
