graph_family,graph_seed,method_seed,sigma,method,n,m,mean_degree,budget_mode,budget_value,cut_raw,cut_rounded,cut_polished,runtime_sec,projection_calls,ode_nfev,adaptive_updates,rhs_rms,rhs_max,active_edges,mean_active_degree,row_sum_max,budget_violation_max,symmetry_error,energy_violations_raw
sparse_er_200_p05,0,0,0.0,static,200,1068,10.68,half_mean_deg,5.34,760.0,760.0,766.0,0.985377550125122,0,1850,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,0,0.0,static_budgeted,200,1068,10.68,half_mean_deg,5.34,696.0,722.0,738.0,0.6733052730560303,1,1154,0,,,765,7.65,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,0.0,random_budgeted,200,1068,10.68,half_mean_deg,5.34,718.0,734.0,748.0,0.5731940269470215,1,1034,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,0.0,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,687.0,687.0,730.0,43.373064279556274,101,4510,100,2.519706595102244e-06,2.519706770903728e-06,680,6.8,5.340000000000002,1.7763568394002505e-15,0.0,0
sparse_er_200_p05,0,0,0.0,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,687.0,687.0,730.0,0.3719074726104736,1,890,0,,,680,6.8,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,1.0,static,200,1068,10.68,half_mean_deg,5.34,667.0,712.0,747.0,8.809043169021606,0,16538,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,0,1.0,static_budgeted,200,1068,10.68,half_mean_deg,5.34,670.0,699.0,734.0,3.087498903274536,1,5870,0,,,765,7.65,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,1.0,random_budgeted,200,1068,10.68,half_mean_deg,5.34,658.0,690.0,741.0,1.9853062629699707,1,3830,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,1.0,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,637.0,637.0,735.0,95.14429545402528,101,15538,100,2.0400417016150176e-05,0.0001786687520756,625,6.25,5.340000000000002,1.7763568394002505e-15,0.0,0
sparse_er_200_p05,0,0,1.0,hybrid_support_random_weights,200,1068,10.68,half_mean_deg,5.34,643.0,643.0,735.0,1.5638906955718994,1,3878,0,,,625,6.25,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,0.25,static,200,1068,10.68,half_mean_deg,5.34,754.0,759.0,769.0,1.3093509674072266,0,2462,0,,,1068,10.68,21.0,15.66,0.0,0
sparse_er_200_p05,0,0,0.25,static_budgeted,200,1068,10.68,half_mean_deg,5.34,703.0,725.0,746.0,0.8616898059844971,1,1478,0,,,765,7.65,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,0.25,random_budgeted,200,1068,10.68,half_mean_deg,5.34,713.0,742.0,751.0,0.6316123008728027,1,1130,0,,,1049,10.49,5.340000000000001,8.881784197001252e-16,0.0,0
sparse_er_200_p05,0,0,0.25,hybrid_frobenius,200,1068,10.68,half_mean_deg,5.34,682.0,684.0,737.0,94.5015697479248,101,5518,100,9.832667972112211e-05,0.0002427909207785,547,5.47,5.340000000000002,1.7763568394002505e-15,0.0,0
